474994616727502878;#000094^1
318195467257249792;#000244^1/#000043^1/#000144^1
1214183687525244948;#000335^1
553272272572645377;#000239^1
1233149636823482419;#000302^1/#000370^1/#000088^2/#000155^1/#000079^1/#000344^1/#000148^1/#000170^1/#000337^1/#000138^1/#000093^1/#000232^1/#000368^1/#000043^1/#000150^1/#000103^2/#000318^1/#000059^1/#000094^1/#000054^1/#000408^1/#000076^1/#000404^1/#000282^1/#000306^2/#000240^1/#000102^1/#000129^1/#000348^1/#000335^1/#000253^1/#000343^1/#000186^1/#000294^1
695976690915999784;#000158^1/#000261^1/#000019^1/#000103^1/#000182^1/#000033^1/#000002^1
1185169200881340546;#000001^1/#000007^1/#000356^1/#000252^2/#000148^1/#000129^1/#000067^1/#000101^2/#000170^1/#000261^1/#000306^2/#000120^1/#000380^1/#000387^2/#000070^1/#000043^1/#000359^1
743651960342970449;#000243^1
1133939551006634076;#000032^1/#000083^1
712717487065792565;#000143^2
849803417589121024;#000304^1
1070979120349069354;#000270^1/#000382^1/#000142^2/#000281^1/#000096^2/#000139^1/#000308^2/#000385^1/#000243^1/#000383^1/#000336^1/#000408^1/#000377^1/#000001^1/#000053^1/#000378^1/#000133^1/#000304^1/#000118^1/#000302^1
1134871685007413278;
999129645159043105;#000312^1/#000268^1
1005553369529712760;#000033^1
759007927700160525;
1235436862861086720;
782187655290421248;
815894852780556308;
741642090722885634;#000345^2/#000150^1
793342341246484491;#000053^1
799661083740733450;
748765390355824660;
384221759769149443;
980756492401659904;#000358^1
917021469844844564;#000346^1/#000056^1/#000320^1/#000179^1/#000360^1/#000057^1/#000249^1/#000313^1/#000030^1/#000193^1/#000132^1/#000332^1/#000102^1/#000040^1/#000310^1/#000138^1/#000419^1/#000014^1/#000174^1/#000417^1/#000396^1/#000108^1/#000086^1/#000009^1/#000158^1/#000060^1/#000418^1/#000074^1/#000157^1/#000309^1/#000070^1/#000364^1/#000011^1/#000336^1
785038064623812660;
1139453746364039219;#000138^1/#000411^1/#000080^1/#000075^1/#000200^1/#000081^1/#000408^1/#000111^1/#000159^1/#000313^1/#000330^1/#000335^1/#000274^1/#000074^1/#000215^1/#000179^1/#000098^2/#000128^1/#000244^1/#000177^1/#000287^1/#000266^1/#000349^1/#000040^1/#000406^1/#000251^1/#000387^1/#000071^1/#000300^1/#000131^1/#000337^1
865938788362354739;
571661221854707713;
956163674828050472;
425382319449309197;
1015891505518481428;
155149108183695360;
717589267496566786;
559426966151757824;
1245210986621833256;
718264740689870925;#000273^1/#000163^1
704673617689968691;
1071036866289205332;
411916947773587456;
761779452996747296;
757951693123223573;
886990560496349204;
902539500570443868;#000277^1/#000160^2/#000156^1/#000335^1/#000159^1/#000235^1/#000308^1/#000398^1/#000094^1/#000001^2/#000123^1/#000357^1/#000061^1/#000274^1/#000079^1/#000058^2/#000273^1/#000258^1/#000311^1/#000010^1/#000337^1/#000245^1
163839102750425088;
710336804443914270;#000112^1/#000054^1/#000272^1/#000140^1/#000093^1/#000120^1/#000387^1/#000236^1/#000142^1
949278818877702194;
683408067798630440;
524162123069390849;
1025425077455552566;
805679341274660885;
803525168764944425;
699813767730561054;#000015^1/#000168^1
802007120597090334;
1134716896588075008;#000286^1/#000344^1/#000364^1
821654262902685707;
1221567508109197514;
940835625639235674;
716907511411769415;
719547640206983239;#000278^1/#000390^1/#000002^1
960573832689762324;#000232^1
1092076082913615893;
785284401252139008;
1138332267119386664;
1219185662163419236;
974603936763871263;
1145133582344536174;
1082411487513018368;
1254614233384091766;
1104136869496762411;
1011787932543225928;
1212982702257475675;
772118560154845234;
1069716184582336572;
1120222174951776306;
974602782722101248;
1051889086505439262;
1162877087565234207;
1234691689118175263;
1139508346693632091;
1030887968677822514;
1139963749537681509;
716009765460902028;
974978239657279508;
494884819369590784;
838457926909427733;
970932719997566986;
1219123141499031592;
